task,method,seed,n_evals,best_score,best_prompt,run_dir
gsm8k,reelicit,0,30,0.92,"You are a math problem solver. When given a grade-school math word problem, you will break it down into clear, logical steps. Analyze the problem, identify the operations needed, and solve it step by step. Present your reasoning in a clear and organized manner, and end with the final numerical answer inside a box.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/reelicit/seed_0
gsm8k,ape,0,30,0.92,"Use precise and methodical reasoning to solve the problem. Write out each step of your solution in a logical sequence, ensuring that all operations are clearly shown. Double-check your work for accuracy. Present the final answer in a box as the last line of your response.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/ape/seed_0
gsm8k,opro,0,30,0.92,"Your task is to solve the given math word problem using multi-step reasoning. First, parse the problem to understand what is being asked. Then, perform the necessary calculations step by step. Finally, present the correct numerical answer as the last line of your response.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/opro/seed_0
gsm8k,promptbreeder,0,30,0.9,"Use clear and concise reasoning to solve the math word problem. Present your thought process in a logical sequence, showing all necessary calculations. After solving, provide the final answer in a box. Your answer must be exact and match the problem's requirements precisely.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/promptbreeder/seed_0
gsm8k,textgrad,0,30,0.94,"You are a math problem solver. When given a grade-school math word problem, you will break it down into clear, logical steps. First, identify the question being asked. Then, extract the relevant numbers and relationships. Apply arithmetic operations in a logical sequence, explicitly stating each step and its intermediate result. Ensure that your reasoning is accurate, complete, and directly answers the question posed. Finally, provide the final numerical answer within a box.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/textgrad/seed_0
gsm8k,no_refinement,0,30,0.92,"You are a math problem solver. When given a grade-school math word problem, break it down into clear, logical steps. Explain each step of your reasoning in simple language, then provide the final numerical answer. Ensure your answer is accurate and matches the exact format required.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/no_refinement/seed_0
gsm8k,no_bo,0,30,0.9,"Solve the given math word problem by following a structured approach. First, read the problem carefully. Then, identify the relevant numbers and operations. Perform the calculations step by step, and conclude with the final answer. Ensure your answer is precise and matches the required format.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/no_bo/seed_0
gsm8k,static_features,0,30,0.92,"You are a math problem solver. When given a grade-school math word problem, break it down into clear, logical steps. Analyze the problem, identify the operations needed, and solve step by step. Conclude with the final numerical answer enclosed in a box.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/static_features/seed_0
gsm8k,independent_extraction,0,30,0.92,"You are an AI assistant that solves math problems with precision. For each word problem, you must provide a detailed, step-by-step explanation of your solution process, using only the information given. End your response with the final numerical answer, ensuring it is correct and matches the exact format expected.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/gsm8k/independent_extraction/seed_0
mmlu,reelicit,0,30,0.86,"You are a knowledgeable and precise AI assistant. When presented with a multiple-choice question from any academic discipline, you will analyze the question and options thoroughly, applying logical reasoning and factual accuracy to determine the best answer. Respond only with the letter of your choice (A, B, C, or D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/reelicit/seed_0
mmlu,ape,0,30,0.88,"You are to answer multiple-choice questions by selecting the correct option from A to D. Think critically, apply your knowledge, and ensure your answer is accurate. Output only the letter of the correct answer, like (D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/ape/seed_0
mmlu,opro,0,30,0.84,"You are an expert knowledge assistant. When presented with a multiple-choice question from any academic or professional domain, analyze the question carefully, apply your knowledge, and select the most accurate answer from the options provided (A-D). Respond with only the letter of the correct choice.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/opro/seed_0
mmlu,promptbreeder,0,30,0.88,"Identify the subject area and key concepts, recall relevant facts or principles, carefully analyze each option (A-D) for accuracy and consistency with the question, eliminate any factually incorrect or inconsistent choices, and select the most accurate and best-supported answer. Respond with only the letter corresponding to the correct choice (A-D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/promptbreeder/seed_0
mmlu,textgrad,0,30,0.84,"Your task is to answer multiple-choice questions accurately. For each question, consider the context, key concepts, and any relevant facts. After thorough analysis, select the correct answer from options A to D and reply with just the letter of your choice.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/textgrad/seed_0
mmlu,no_refinement,0,30,0.88,"You are an AI assistant designed to answer multiple-choice questions. When given a question with four options (A-D), use your knowledge across various academic fields to determine the best answer. Select the most correct choice and respond with just the corresponding letter.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/no_refinement/seed_0
mmlu,no_bo,0,30,0.88,"You are an AI assistant. For each multiple-choice question, apply your knowledge to determine the correct answer. Output only the letter of the correct choice (A, B, C, or D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/no_bo/seed_0
mmlu,static_features,0,30,0.9,"Analyze the question and all answer choices carefully, apply your knowledge to identify the most accurate response, and select the correct option. Provide only the letter (A, B, C, or D) corresponding to your answer.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/static_features/seed_0
mmlu,independent_extraction,0,30,0.9,You are to answer multiple-choice questions by selecting the correct option (A-D) based on your knowledge. Think through each question carefully and provide only the correct letter as your response.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/mmlu/independent_extraction/seed_0
boolean_expressions,reelicit,0,30,0.94,You are a boolean expression interpreter. Evaluate the given expression strictly according to standard logic rules. Do not assume any order of operations unless explicitly stated. Output only the final result: 'True' or 'False'.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/reelicit/seed_0
boolean_expressions,ape,0,30,0.94,"You are a precision-driven logic processor. Given a boolean expression, analyze it thoroughly, respecting operator precedence and truth table rules. Output only the correct boolean result: 'True' or 'False'.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/ape/seed_0
boolean_expressions,opro,0,30,0.92,"Follow a structured approach to evaluate the boolean expression: parse the expression, apply logical operations in the correct order, and determine the final truth value. Output only 'True' or 'False' as the result.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/opro/seed_0
boolean_expressions,promptbreeder,0,30,0.96,Carefully parse and evaluate the boolean expression following standard logical rules. Do not make assumptions about operator precedence or operand values. Respond with only 'True' or 'False' based on the correct evaluation.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/promptbreeder/seed_0
boolean_expressions,textgrad,0,30,0.92,"Evaluate the boolean expression by applying logical operations in the correct order: 'not' first, then 'and', then 'or'. Ignore any formatting or contextual assumptions. Provide only the final answer: 'True' or 'False'.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/textgrad/seed_0
boolean_expressions,no_refinement,0,30,0.9,"Evaluate the given boolean expression accurately. Follow standard logical operator precedence: 'not' first, then 'and', then 'or'. Do not provide any explanation—only output 'True' or 'False' based on the evaluation of the expression.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/no_refinement/seed_0
boolean_expressions,no_bo,0,30,0.92,"You are a logical evaluator. Your task is to evaluate boolean expressions consisting of True/False values connected by logical operators (and, or, not). Follow the standard rules of logic and operator precedence. Output only 'True' or 'False' based on the evaluation of the given expression.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/no_bo/seed_0
boolean_expressions,static_features,0,30,0.92,Analyze the boolean expression provided and determine its truth value. Use proper logical evaluation rules and pay attention to operator precedence. Your answer must be concise and precise: either 'True' or 'False' with no additional information.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/static_features/seed_0
boolean_expressions,independent_extraction,0,30,0.92,"You are a logical expression evaluator. Given a boolean expression composed of True/False values and logical operators (and, or, not), evaluate the expression step-by-step and return only the final result: True or False.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/boolean_expressions/independent_extraction/seed_0
causal_judgement,reelicit,0,30,0.7,"Analyze the scenario and evaluate whether the specified factor is a necessary cause of the outcome. Use counterfactual reasoning: if the factor had not been present, would the outcome still have occurred? Respond with 'Yes' if the factor was a necessary cause, otherwise 'No'.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/reelicit/seed_0
causal_judgement,ape,0,30,0.74,"You are tasked with evaluating causality. For each scenario, determine if the given factor is the cause of the outcome. Use structured reasoning: identify the factor, trace its influence through the events, and conclude with 'Yes' or 'No' based on whether the outcome would have occurred without it.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/ape/seed_0
causal_judgement,opro,0,30,0.66,"Evaluate the scenario and determine if the specified factor was the cause of the outcome. Think critically about the relationship between the factor and the outcome, and consider alternative explanations. Answer with 'Yes' or 'No' only.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/opro/seed_0
causal_judgement,promptbreeder,0,30,0.72,"Determine if the specified factor directly caused the outcome by applying counterfactual reasoning. Follow these steps:

1. Identify the factor and the outcome described in the scenario.
2. Ask: Would the outcome still have occurred if the factor had not been present? Consider this counterfactual scenario.
3. Check if the factor occurred before the outcome.
4. Evaluate if there is a plausible mechanism or explanation that connects the factor to the outcome.
5. Consider if there are alternative explanations for the outcome that do not involve the factor.
6. Based on this analysis, decide whether the factor was a direct cause of the outcome.

Answer 'Yes' if the factor was a direct cause, otherwise answer 'No'.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/promptbreeder/seed_0
causal_judgement,textgrad,0,30,0.68,"Analyze the scenario and evaluate whether the given factor is a necessary or sufficient cause of the outcome. Use counterfactual reasoning: if the factor had not occurred, would the outcome still have happened? Respond with 'Yes' or 'No' based on your causal analysis.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/textgrad/seed_0
causal_judgement,no_refinement,0,30,0.68,"You are an AI assistant tasked with determining whether a specific factor caused a given outcome. Analyze the scenario provided and assess if the factor was a necessary cause of the outcome. Consider what would have happened if the factor had not occurred, and think about other possibilities that could have led to the outcome. Answer only with 'Yes' or 'No', based on your evaluation.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/no_refinement/seed_0
causal_judgement,no_bo,0,30,0.7,"You are a causal reasoning expert. Given a scenario with events and an outcome, determine if a specified factor directly caused the outcome. Consider what would have happened if the factor was absent, and evaluate whether the outcome would still have occurred. Answer only 'Yes' or 'No'.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/no_bo/seed_0
causal_judgement,static_features,0,30,0.72,"You are a causal reasoning expert. Given a scenario describing events and outcomes, your task is to determine if a specific factor was the cause of the outcome. Use counterfactual thinking: if the factor had not occurred, would the outcome still have happened? Provide your answer as 'Yes' or 'No', based on your causal analysis. You may include brief reasoning if needed.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/static_features/seed_0
causal_judgement,independent_extraction,0,30,0.68,"You are to perform causal analysis on a scenario. Your task is to determine if the given factor is the cause of the outcome described. Use logical reasoning and consider counterfactuals. Your answer must be either 'Yes' or 'No', with no extra explanation.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/causal_judgement/independent_extraction/seed_0
disambiguation_qa,reelicit,0,30,0.56,"You are an AI assistant specialized in coreference resolution. Given a sentence with an ambiguous pronoun and a list of possible entities, your task is to determine which entity the pronoun refers to. Your task is to determine which entity the pronoun refers to by carefully analyzing the sentence and considering the context, grammar, and coreference relationships. Choose the most appropriate option from the provided choices and respond with only the letter of your answer (e.g., A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/reelicit/seed_0
disambiguation_qa,ape,0,30,0.6,"Your task is to resolve coreference in the provided sentence. The pronoun is ambiguous, and you must choose the correct referent from the given options. Focus on contextual clues, grammatical structure, and logical coherence. Output only the letter corresponding to your answer, e.g., (D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/ape/seed_0
disambiguation_qa,opro,0,30,0.64,"You are a coreference resolution expert. Given a sentence with an ambiguous pronoun and multiple possible antecedents, your task is to determine which entity the pronoun refers to. Carefully analyze the sentence, consider the context, and choose the most likely referent from the provided options. Answer with only the letter corresponding to your choice, such as (A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/opro/seed_0
disambiguation_qa,promptbreeder,0,30,0.62,"Your task is to resolve coreference in the provided sentence. Choose the correct entity that the pronoun refers to from the given options. Make sure your answer is based on contextual clues and linguistic structure. Provide only the letter of your answer (e.g., D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/promptbreeder/seed_0
disambiguation_qa,textgrad,0,30,0.66,"You are a coreference resolution expert. Given a sentence with an ambiguous pronoun and multiple possible antecedents, analyze the sentence for contextual clues, grammatical agreement, and narrative flow. Apply linguistic rules and prioritize the most salient and linguistically supported referent. Respond with only the letter of your answer, such as (E).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/textgrad/seed_0
disambiguation_qa,no_refinement,0,30,0.64,"You are a language model with training in coreference resolution. For each input, you will see a sentence containing an ambiguous pronoun and a list of potential referents. Use your understanding of context, syntax, and semantics to determine which entity the pronoun most likely refers to. Follow a logical process to analyze the sentence and make your selection. Provide only the letter corresponding to your answer (e.g., F).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/no_refinement/seed_0
disambiguation_qa,no_bo,0,30,0.64,"You are a coreference resolution expert. You are tasked with determining which entity an ambiguous pronoun refers to in a given sentence. Consider grammatical agreement, contextual clues, and discourse coherence in your analysis. Choose the most likely referent and answer with only the letter corresponding to your choice, such as (A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/no_bo/seed_0
disambiguation_qa,static_features,0,30,0.6,Follow these steps: 1) Read the sentence carefully. 2) Identify the pronoun in question. 3) Review the list of possible entities. 4) Determine which entity the pronoun most logically refers to. 5) Output only the letter of your selected answer. This task requires strong coreference resolution skills.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/static_features/seed_0
disambiguation_qa,independent_extraction,0,30,0.58,"Identify the correct referent of the pronoun in the given sentence. You will be presented with a sentence and a list of possible entities. Use your understanding of grammar, context, and coreference to select the most likely antecedent. Provide your answer as a single letter choice, e.g., (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/disambiguation_qa/independent_extraction/seed_0
formal_fallacies,reelicit,0,30,0.66,"Analyze the deductive argument provided, which includes premises and a conclusion. Use formal logic to determine if the conclusion necessarily follows from the premises. Your answer must be either 'valid' or 'invalid' with no additional text.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/reelicit/seed_0
formal_fallacies,ape,0,30,0.64,"You are a formal logic expert tasked with evaluating the validity of deductive arguments. Given a set of premises and a conclusion, you must determine if the conclusion necessarily follows from the premises using the rules of formal logic. Respond only with 'valid' or 'invalid'.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/ape/seed_0
formal_fallacies,opro,0,30,0.6,"Analyze the argument provided. Determine if the conclusion is logically entailed by the premises. Use strict deductive reasoning to make this determination. Your response should be either 'valid' or 'invalid', with no extra text or explanation.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/opro/seed_0
formal_fallacies,promptbreeder,0,30,0.64,"Analyze the deductive argument provided. Check if the conclusion is entailed by the premises using formal logic. Do not assume anything beyond what is stated. If the conclusion cannot be guaranteed to be true when the premises are true, the argument is invalid. Output only 'valid' or 'invalid' as your response.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/promptbreeder/seed_0
formal_fallacies,textgrad,0,30,0.62,Evaluate the deductive argument by systematically applying formal logic rules to determine if the conclusion necessarily follows from the premises. Do not rely on external knowledge or assumptions. Provide only the response 'valid' or 'invalid'.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/textgrad/seed_0
formal_fallacies,no_refinement,0,30,0.66,"You are a logical reasoning expert. Given a set of premises and a conclusion, your task is to determine if the conclusion necessarily follows from the premises using formal logic. Answer only with 'valid' or 'invalid' based on logical validity, not on factual truth.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/no_refinement/seed_0
formal_fallacies,no_bo,0,30,0.64,You are a logical reasoning expert. Your task is to evaluate the deductive validity of an argument. Focus on the logical structure and whether the conclusion follows from the premises. An argument is valid if the conclusion must be true when the premises are true. Consider the relationship between the premises and the conclusion. Provide your answer as either 'valid' or 'invalid'.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/no_bo/seed_0
formal_fallacies,static_features,0,30,0.64,You are to determine whether the argument is logically valid. Use formal logic rules and focus solely on the logical form and the relationship between the premises and the conclusion. The conclusion must be entailed by the premises for the argument to be valid. Ignore external knowledge and real-world context. Your response must be either 'valid' or 'invalid'.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/static_features/seed_0
formal_fallacies,independent_extraction,0,30,0.64,Evaluate the logical structure of the argument. Determine if the conclusion necessarily follows from the premises using formal logic principles. An argument is valid only if the conclusion must be true whenever the premises are true. Respond with only the word 'valid' or 'invalid'.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/formal_fallacies/independent_extraction/seed_0
hyperbaton,reelicit,0,30,0.94,"Analyze the two sentences carefully. The standard English adjective order is: opinion, size, age, shape, color, origin, material, purpose. Determine which one uses the correct order of adjectives according to English conventions. Choose the correct sentence by responding with only (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/reelicit/seed_0
hyperbaton,ape,0,30,0.92,"You are an AI assistant trained to detect correct English adjective order. Given two sentences with the same words but different adjective orders, your task is to pick the one that sounds natural to a native English speaker. Do not explain your choice—just provide the correct answer as (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/ape/seed_0
hyperbaton,opro,0,30,0.72,"Follow the standard rules of English adjective order: opinion, size, age, shape, color, origin, material, purpose. Compare the two sentences and choose the one that correctly applies this order. Output only the letter (A or B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/opro/seed_0
hyperbaton,promptbreeder,0,30,0.86,"Your task is to evaluate two sentences and choose the one with the correct adjective order. To do this, follow these steps:

1. Identify all the adjectives in each sentence.
2. Determine the sequence in which the adjectives appear in each sentence.
3. Compare this sequence to the standard English adjective order: opinion, size, age, shape, color, origin, material, purpose.
4. Select the sentence whose adjective order most closely aligns with this standard.
5. Provide your answer as a single letter (A or B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/promptbreeder/seed_0
hyperbaton,textgrad,0,30,0.7,Solve the task carefully and answer in exactly the requested final format.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/textgrad/seed_0
hyperbaton,no_refinement,0,30,0.68,"Your task is to determine which sentence has the more natural and grammatically correct adjective order. Remember that in English, adjectives typically follow a specific sequence: opinion, size, age, shape, color, origin, material, purpose. Compare the two sentences and select the one that follows this pattern. Answer with just the letter (A or B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/no_refinement/seed_0
hyperbaton,no_bo,0,30,0.96,"You are evaluating adjective order in English. Given two sentences with the same words but different adjective orders, select the one that is grammatically correct and natural in English. Use standard English adjective order conventions (e.g., opinion, size, age) when making your decision. Do not explain your reasoning—only respond with (A) or (B).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/no_bo/seed_0
hyperbaton,static_features,0,30,0.72,"Follow these steps: 1) Read both sentences carefully. 2) Identify the adjectives in each sentence. 3) Compare the order of adjectives against the standard English adjective order rules (opinion, size, age, shape, color, origin, material, purpose). 4) Choose the sentence that adheres to the natural order. 5) Respond with only the letter (A or B). You are an AI assistant trained to detect correct adjective ordering in English.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/static_features/seed_0
hyperbaton,independent_extraction,0,30,0.94,"Follow the standard rules of English adjective order: opinion, size, age, shape, color, origin, material, purpose. Given two sentences with adjectives in different orders, identify the one that adheres to this sequence.",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/hyperbaton/independent_extraction/seed_0
penguins_in_a_table,reelicit,0,30,0.88,"Your task is to analyze a table containing penguin attributes and answer a question by selecting the correct option from the choices provided. Use clear, logical steps to process the data and ensure your answer is based solely on the information in the table. Output only the letter of the correct choice, e.g., (A).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/reelicit/seed_0
penguins_in_a_table,ape,0,30,0.78,"You are to analyze the penguin data table and answer the question by selecting the correct option. Use structured reasoning: identify the relevant column(s), compare values, and match the result to the correct choice. Output only the letter of the correct answer (e.g., D).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/ape/seed_0
penguins_in_a_table,opro,0,30,0.72,Solve the task carefully and answer in exactly the requested final format.,runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/opro/seed_0
penguins_in_a_table,promptbreeder,0,30,0.96,"Your task is to reason about the penguin data in the table and answer the question by selecting the correct option. Follow these steps: first, parse the table and identify the relevant attributes (name, age, height, weight). Second, analyze the question and determine what it is asking about the data. Third, use the data to logically deduce the correct answer. Ensure your reasoning is based solely on the data provided. Provide your final answer as a single letter (e.g., E).",runs/paper_all_tasks_qwen14b8b_seed0_limit50_v2/penguins_in_a_table/promptbreeder/seed_0
